Event ,County ,District ,Division ,Date ,Place,Deaths ,Injured ,Missing ,Houses Destroyed ,Houses Damaged ,Victims ,Affected ,Relocated ,Evacuated ,Losses $USD ,Losses $Local ,Education centers ,Hospitals ,Damages in crops Ha. ,Lost Cattle ,Damages in roads Mts ,Comments,Responder: military ,Responder: police ,Responder: Red Cross ,Responder: MOSP ,Responder: Nairobi Fire Brigade ,Responder: KPLC ,Responder: UNICEF ,Responder: Saint John Ambulance ,Responder: IRC ,Other Responders ,House: Iron Sheet ,House: Wooden ,House: Mud ,House: Grass Thatched ,House: Tent ,Coordinate Info,County_GIS,Constituency_GIS,County Centriod
FLOOD,KILIFI,MALINDI,MARAFA,01/11/2009 12:00:00 AM,Chamari Village,,,,,,,1080,,,0,0,,Yes,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-2.789251387, 39.86693084)",KILIFI,KALOLENI,"(-3.17573201323, 39.68668755070)"
FLOOD,KILIFI,MALINDI,MARAFA,01/11/2009 12:00:00 AM,Watala village,,,,,,,1160,,,0,0,,Yes,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-2.789251387, 39.86693084)",KILIFI,KALOLENI,"(-3.17573201323, 39.68668755070)"
FLOOD,KILIFI,MALINDI,MARAFA,01/11/2009 12:00:00 AM,Kanyumbuni village,,,,,,,1150,,,0,0,,Yes,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-2.789251387, 39.86693084)",KILIFI,KALOLENI,"(-3.17573201323, 39.68668755070)"
FLOOD,KILIFI,MALINDI,MARAFA,01/11/2009 12:00:00 AM,Garashi,,,,,,,180,,,0,0,,Yes,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-2.789251387, 39.86693084)",KILIFI,KALOLENI,"(-3.17573201323, 39.68668755070)"
FLOOD,KILIFI,MALINDI,MARAFA,01/11/2009 12:00:00 AM,Adu,,,,,,,45,,,0,0,,Yes,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-2.789251387, 39.86693084)",KILIFI,KALOLENI,"(-3.17573201323, 39.68668755070)"
FLOOD,KILIFI,MALINDI,MARAFA,01/11/2009 12:00:00 AM,Kambicha village,,,,,,,75,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-2.789251387, 39.86693084)",KILIFI,KALOLENI,"(-3.17573201323, 39.68668755070)"
DROUGHT,KILIFI,MALINDI,MARAFA,08/04/2009 12:00:00 AM,,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-2.789251387, 39.86693084)",KILIFI,KALOLENI,"(-3.17573201323, 39.68668755070)"
FLOOD,KILIFI,MALINDI,MARAFA,06/01/2010 12:00:00 AM,Baricho and Dakacha villages,,,,,,,1200,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-2.789251387, 39.86693084)",KILIFI,KALOLENI,"(-3.17573201323, 39.68668755070)"
DROUGHT,KILIFI,MALINDI,MARAFA,01/04/2010 12:00:00 AM,Marafa,,,,,,,,,,0,0,,yes,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOK, AMIRAN",NA,NA,NA,NA,NA,"(-2.789251387, 39.86693084)",KILIFI,KALOLENI,"(-3.17573201323, 39.68668755070)"
FLOOD,MURANG'A,MARAGUA,MARAGUA,05/14/2002 12:00:00 AM,,1,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-0.815891304, 36.98737235)",MURANG'A,MATHIOYA,"(-0.80959053649, 37.03272252330)"
EXTREME RAINS,MURANG'A,MARAGUA,MARAGUA,06/30/2012 12:00:00 AM,Gatanga,,,,,,50892,,,,0,0,,yes,,0,,Amount of food maize-3000 and beans -760,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-0.815891304, 36.98737235)",MURANG'A,MATHIOYA,"(-0.80959053649, 37.03272252330)"
DROUGHT,KISII,CENTRAL KISII,MARANI,04/26/2009 12:00:00 AM,"Mwamonari, Rioma - Manyakundi Village",,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-0.564621438, 34.81740702)",KISII,NYARIBARI CHACHE,"(-0.77460375721, 34.77472298350)"
FLOOD,BARINGO,BARINGO,MARIGAT,10/01/2010 12:00:00 AM,Ngambo,,,,67,,,67,,,0,0,,,,,,"67 households were washed away, Ngambo dispensary was submerged resulting to loss of medicine, 2 pit latrines were also destroyed",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(0.475753367, 35.98492357)",BARINGO,BARINGO CENTRAL,"(0.66925198032, 35.94646535270)"
FLOOD,BARINGO,BARINGO,MARIGAT,10/01/2010 12:00:00 AM,Loboi,,,,23,,,,,,0,0,,,20,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(0.475753367, 35.98492357)",BARINGO,BARINGO CENTRAL,"(0.66925198032, 35.94646535270)"
FLOOD,BARINGO,BARINGO,MARIGAT,10/01/2010 12:00:00 AM,Longewan/ Ngarua,,,,118,,,,,,0,0,,,53.5,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(0.475753367, 35.98492357)",BARINGO,BARINGO CENTRAL,"(0.66925198032, 35.94646535270)"
DROUGHT,NYERI,NYERI,MATHIRA,03/04/2011 12:00:00 AM,Mathira West,,,,,,,16011,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-0.445877647, 37.11625732)",NYERI,KIENI,"(-0.34292358939, 36.95647813460)"
FLOOD,BARINGO,BARINGO,MARIGAT,10/01/2010 12:00:00 AM,Eldume,,,,122,,,601,,,0,0,,,86.5,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(0.475753367, 35.98492357)",BARINGO,BARINGO CENTRAL,"(0.66925198032, 35.94646535270)"
FLOOD,BARINGO,BARINGO,MARIGAT,02/01/2010 12:00:00 AM,,,,,196,,,2724,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(0.475753367, 35.98492357)",BARINGO,BARINGO CENTRAL,"(0.66925198032, 35.94646535270)"
FLOOD,BARINGO,BARINGO,MARIGAT,02/01/2010 12:00:00 AM,,,,,,,,2724,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(0.475753367, 35.98492357)",BARINGO,BARINGO CENTRAL,"(0.66925198032, 35.94646535270)"
FLOOD,BARINGO,BARINGO,MARIGAT,04/01/2010 12:00:00 AM,Marigat - East Pokot road,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(0.475753367, 35.98492357)",BARINGO,BARINGO CENTRAL,"(0.66925198032, 35.94646535270)"
FLOOD,BARINGO,BARINGO,MARIGAT,04/01/2010 12:00:00 AM,,,,,,,,196,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(0.475753367, 35.98492357)",BARINGO,BARINGO CENTRAL,"(0.66925198032, 35.94646535270)"
DROUGHT,BARINGO,BARINGO,MARIGAT,01/03/2011 12:00:00 AM,,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(0.475753367, 35.98492357)",BARINGO,BARINGO CENTRAL,"(0.66925198032, 35.94646535270)"
DROUGHT,BARINGO,BARINGO,MARIGAT,01/08/2009 12:00:00 AM,,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(0.475753367, 35.98492357)",BARINGO,BARINGO CENTRAL,"(0.66925198032, 35.94646535270)"
DROUGHT,GARISSA,IJARA,MASALANI,04/26/2009 12:00:00 AM,Dahir- Metahir village,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-1.71672963, 40.2855404)",GARISSA,BALAMBALA,"(-0.48891034483, 40.19927853780)"
WINDSTORM,KISUMU,KISUMU,MASENO,04/15/2010 12:00:00 AM,Otwero Primary School,,,,,5,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-0.070506973, 34.6001277)",KISUMU,NYAKACH,"(-0.16945869476, 34.83520346600)"
DROUGHT,KAJIADO,KAJIADO,MASHURU,01/03/2011 12:00:00 AM,,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-2.070415331, 37.2819277)",KAJIADO,KAJIADO CENTRAL,"(-2.12138357786, 36.90884219300)"
DROUGHT,MACHAKOS,MACHAKOS,MASINGA,09/02/2011 12:00:00 AM,,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-0.946524021, 37.65089408)",MACHAKOS,YATTA,"(-1.27951230656, 37.41267603290)"
DROUGHT,MACHAKOS,MACHAKOS,MASINGA,01/08/2009 12:00:00 AM,Masinga,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-0.946524021, 37.65089408)",MACHAKOS,YATTA,"(-1.27951230656, 37.41267603290)"
DROUGHT,MACHAKOS,MACHAKOS,MASINGA,01/04/2010 12:00:00 AM,MASINGA,,,,,,,,,,0,0,,yes,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOK, AMIRAN",NA,NA,NA,NA,NA,"(-0.946524021, 37.65089408)",MACHAKOS,YATTA,"(-1.27951230656, 37.41267603290)"
LANDSLIDE,MURANG'A,MURANGA,MATHIOYA,07/11/2008 12:00:00 AM,Gikoe village,1,,,1,,,11,,,0,0,,,,0,,A juvenile was buried by soil mass in the house she was sleeping in.,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-0.638975023, 36.9677687)",MURANG'A,MATHIOYA,"(-0.80959053649, 37.03272252330)"
LANDSLIDE,MURANG'A,MURANGA,MATHIOYA,07/11/2008 12:00:00 AM,Mukima,,,,1,1,,4,,,0,0,,,,0,,The drainage system is poor hence the surface runoff water has to look for its own way down the sloppy area posing further dangers to already[...],NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-0.638975023, 36.9677687)",MURANG'A,MATHIOYA,"(-0.80959053649, 37.03272252330)"
DROUGHT,MURANG'A,MURANGA,MATHIOYA,03/04/2011 12:00:00 AM,,,,,,,,10527,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-0.638975023, 36.9677687)",MURANG'A,MATHIOYA,"(-0.80959053649, 37.03272252330)"
EXTREME RAINS,MURANG'A,MURANGA,MATHIOYA,06/30/2012 12:00:00 AM,Mathioya,,,,,,6173,,,,0,0,,yes,,0,,Amount of food required maize-687.,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-0.638975023, 36.9677687)",MURANG'A,MATHIOYA,"(-0.80959053649, 37.03272252330)"
LANDSLIDE,MURANG'A,MURANGA,MATHIOYA,01/05/2009 12:00:00 AM,Gikoe village - Njumbi,1,,,5,,,,,,0,0,,yes,,0,,"5 Households were affected, 20 families evacuated",NA,NA,NA,NA,NA,NA,NA,NA,NA,GOK,NA,NA,NA,NA,NA,"(-0.638975023, 36.9677687)",MURANG'A,MATHIOYA,"(-0.80959053649, 37.03272252330)"
FLOOD,MURANG'A,MURANGA,MATHIOYA,04/30/2013 12:00:00 AM,kAHURO,,,,,,,,,,0,0,,yes,,0,,Houses a bridge and cow sheds were damaged. Toilets were submerged,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ministry of public works and ministry of health,NA,NA,NA,NA,NA,"(-0.638975023, 36.9677687)",MURANG'A,MATHIOYA,"(-0.80959053649, 37.03272252330)"
DROUGHT,NYERI,NYERI,MATHIRA,01/08/2009 12:00:00 AM,Gatundu North,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-0.445877647, 37.11625732)",NYERI,KIENI,"(-0.34292358939, 36.95647813460)"
DROUGHT,NYERI,NYERI,MATHIRA,01/08/2009 12:00:00 AM,Gatundu,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-0.445877647, 37.11625732)",NYERI,KIENI,"(-0.34292358939, 36.95647813460)"
DROUGHT,NYERI,NYERI,MATHIRA,08/03/2009 12:00:00 AM,Karatina,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-0.445877647, 37.11625732)",NYERI,KIENI,"(-0.34292358939, 36.95647813460)"
LANDSLIDE,NYERI,NYERI,MATHIRA,02/05/2010 12:00:00 AM,Mathira,,,,7,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-0.445877647, 37.11625732)",NYERI,KIENI,"(-0.34292358939, 36.95647813460)"
EXTREME RAINS,NYERI,NYERI,MATHIRA,06/30/2012 12:00:00 AM,Mathira east,,,,,,993,,,,0,0,,,,0,,"Amount of food required maize-63,beans-26,rice-127 and oil-316.",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-0.445877647, 37.11625732)",NYERI,KIENI,"(-0.34292358939, 36.95647813460)"
EXTREME RAINS,NYERI,NYERI,MATHIRA,06/30/2012 12:00:00 AM,Mathira west,,,,,,21160,,,,0,0,,yes,,0,,"Amount of food required maize-11,130.",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-0.445877647, 37.11625732)",NYERI,KIENI,"(-0.34292358939, 36.95647813460)"
FOREST FIRE,MAKUENI,MAKUENI,MATILIKU,12/31/2008 12:00:00 AM,Makuri Forest in Nzaui District,,,,,,,,,,0,,,,60,0,,Indigenous forest burned down due to extreme high temperatures and low humidity,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-1.882765859, 37.55577466)",MAKUENI,KIBWEZI WEST,"(-2.15768410007, 37.78824557250)"
DROUGHT,MAKUENI,MAKUENI,MATILIKU,01/03/2011 12:00:00 AM,Nzaui,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-1.882765859, 37.55577466)",MAKUENI,KIBWEZI WEST,"(-2.15768410007, 37.78824557250)"
DROUGHT,MAKUENI,MAKUENI,MATILIKU,09/03/2011 12:00:00 AM,Nzaui,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-1.882765859, 37.55577466)",MAKUENI,KIBWEZI WEST,"(-2.15768410007, 37.78824557250)"
DROUGHT,MAKUENI,MAKUENI,MATILIKU,01/08/2009 12:00:00 AM,,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-1.882765859, 37.55577466)",MAKUENI,KIBWEZI WEST,"(-2.15768410007, 37.78824557250)"
DROUGHT,KWALE,KWALE,MATUGA,09/03/2011 12:00:00 AM,,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-4.160261825, 39.526973)",KWALE,KINANGO,"(-4.18314952721, 39.19041190050)"
DROUGHT,KWALE,KWALE,MATUGA,01/08/2009 12:00:00 AM,Matuga,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-4.160261825, 39.526973)",KWALE,KINANGO,"(-4.18314952721, 39.19041190050)"
FLOOD,KWALE,KWALE,MATUGA,10/27/2006 12:00:00 AM,Tiwi,,,,21,,,67,,,0,0,,,,0,,67 families were rendered homeless,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-4.160261825, 39.526973)",KWALE,KINANGO,"(-4.18314952721, 39.19041190050)"
FLOOD,KAKAMEGA,BUTERE MUMIAS,MATUNGU,06/12/2011 12:00:00 AM,"Lucheka, Emurambe, Munanga",,,,,,,60,,,0,0,,,,0,,"60 Families were affected, 20 of them have been displaced",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(0.383880051, 34.46654791)",KAKAMEGA,SHINYALU,"(0.40368346399, 34.74451115300)"
DROUGHT,MACHAKOS,MACHAKOS,MATUNGULU,01/08/2009 12:00:00 AM,Nzambani,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-1.203620017, 37.23248451)",MACHAKOS,YATTA,"(-1.27951230656, 37.41267603290)"
DROUGHT,MACHAKOS,MACHAKOS,MATUNGULU,01/08/2009 12:00:00 AM,,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-1.203620017, 37.23248451)",MACHAKOS,YATTA,"(-1.27951230656, 37.41267603290)"
FLOOD,NAROK,NAROK,MAU,12/28/2009 12:00:00 AM,Suswa area,3,,,,,,385,,,0,0,,,,0,,There was massive destruction of drainage systems,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-1.088275662, 36.11787346)",NAROK,NAROK SOUTH,"(-1.25479033211, 35.57632921390)"
FLOOD,NAROK,NAROK,MAU,01/07/2010 12:00:00 AM,Mau,,,,,,,,,,0,0,,yes,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOK, AMIRAN",NA,NA,NA,NA,NA,"(-1.088275662, 36.11787346)",NAROK,NAROK SOUTH,"(-1.25479033211, 35.57632921390)"
DROUGHT,MACHAKOS,MACHAKOS,MAVOKO,01/03/2012 12:00:00 AM,Isinya,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-1.482733649, 37.04995558)",MACHAKOS,YATTA,"(-1.27951230656, 37.41267603290)"
DROUGHT,MACHAKOS,MACHAKOS,MAVOKO,03/15/2011 12:00:00 AM,Athi River,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-1.482733649, 37.04995558)",MACHAKOS,YATTA,"(-1.27951230656, 37.41267603290)"
DROUGHT,MACHAKOS,MACHAKOS,MAVOKO,01/08/2009 12:00:00 AM,Athi River,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-1.482733649, 37.04995558)",MACHAKOS,YATTA,"(-1.27951230656, 37.41267603290)"
DROUGHT,MACHAKOS,MACHAKOS,MAVOKO,09/04/2009 12:00:00 AM,,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-1.482733649, 37.04995558)",MACHAKOS,YATTA,"(-1.27951230656, 37.41267603290)"
FLOOD,MACHAKOS,MACHAKOS,MAVOKO,01/03/2012 12:00:00 AM,Athi River,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-1.482733649, 37.04995558)",MACHAKOS,YATTA,"(-1.27951230656, 37.41267603290)"
FLOOD,KITUI,MWINGI,MUMONI,01/01/2010 12:00:00 AM,Mumoni,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-0.509374552, 38.02148437)",KITUI,KITUI EAST,"(-1.49103853075, 38.40692101580)"
FLOOD,MAKUENI,MAKUENI,MBITINI,03/01/2010 12:00:00 AM,Emali,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-1.993377133, 37.47877144)",MAKUENI,KIBWEZI WEST,"(-2.15768410007, 37.78824557250)"
FLOOD,MAKUENI,MAKUENI,MBITINI,03/01/2010 12:00:00 AM,Emali,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-1.993377133, 37.47877144)",MAKUENI,KIBWEZI WEST,"(-2.15768410007, 37.78824557250)"
FLOOD,MAKUENI,MAKUENI,MBITINI,01/14/2010 12:00:00 AM,Emali-Ukia road,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-1.993377133, 37.47877144)",MAKUENI,KIBWEZI WEST,"(-2.15768410007, 37.78824557250)"
FLOOD,MAKUENI,MAKUENI,MBITINI,01/14/2010 12:00:00 AM,Masimba-Nguu-Simba road,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-1.993377133, 37.47877144)",MAKUENI,KIBWEZI WEST,"(-2.15768410007, 37.78824557250)"
THUNDERSTORM,NAKURU,NAKURU,MBOGOINI,11/06/2011 12:00:00 AM,Gitwamba village within Mihango sublocation,1,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(0.091596641, 36.19157549)",NAKURU,SUBUKIA,"(-0.46367543171, 36.07847909420)"
DROUGHT,MAKUENI,MAKUENI,MBOONI,01/03/2011 12:00:00 AM,,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-1.663384963, 37.4475202)",MAKUENI,KIBWEZI WEST,"(-2.15768410007, 37.78824557250)"
DROUGHT,MAKUENI,MAKUENI,MBOONI,11/03/2011 12:00:00 AM,Mbumbuni,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-1.663384963, 37.4475202)",MAKUENI,KIBWEZI WEST,"(-2.15768410007, 37.78824557250)"
DROUGHT,MAKUENI,MAKUENI,MBOONI,11/03/2011 12:00:00 AM,Mbooni west,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-1.663384963, 37.4475202)",MAKUENI,KIBWEZI WEST,"(-2.15768410007, 37.78824557250)"
DROUGHT,MAKUENI,MAKUENI,MBOONI,01/08/2009 12:00:00 AM,,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-1.663384963, 37.4475202)",MAKUENI,KIBWEZI WEST,"(-2.15768410007, 37.78824557250)"
LANDSLIDE,MAKUENI,MAKUENI,MBOONI,11/30/2010 12:00:00 AM,Kithungo location,1,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-1.663384963, 37.4475202)",MAKUENI,KIBWEZI WEST,"(-2.15768410007, 37.78824557250)"
DROUGHT,MAKUENI,MAKUENI,MBOONI,01/04/2010 12:00:00 AM,Mbooni,,,,,,,,,,0,0,,yes,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOK, AMIRAN",NA,NA,NA,NA,NA,"(-1.663384963, 37.4475202)",MAKUENI,KIBWEZI WEST,"(-2.15768410007, 37.78824557250)"
FLOOD,ISIOLO,ISIOLO,MERTI,01/03/2011 12:00:00 AM,,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(1.434479167, 38.70002046)",ISIOLO,ISIOLO NORTH,"(1.01044307753, 38.54215312060)"
FLOOD,ISIOLO,ISIOLO,MERTI,03/03/2010 12:00:00 AM,,,,,,,,200,,,0,0,,,40,0,,"Buffalo serena bridge, 200 families were affected",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(1.434479167, 38.70002046)",ISIOLO,ISIOLO NORTH,"(1.01044307753, 38.54215312060)"
DROUGHT,ISIOLO,ISIOLO,MERTI,01/03/2011 12:00:00 AM,,,,,,,,20431,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(1.434479167, 38.70002046)",ISIOLO,ISIOLO NORTH,"(1.01044307753, 38.54215312060)"
FLOOD,ISIOLO,ISIOLO,MERTI,05/24/2005 12:00:00 AM,Merti Town,,,,,,,1200,,,0,0,,,,0,,200 Households were affected,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(1.434479167, 38.70002046)",ISIOLO,ISIOLO NORTH,"(1.01044307753, 38.54215312060)"
FLOOD,ISIOLO,ISIOLO,MERTI,04/24/2005 12:00:00 AM,Mata - Arba,,,,,,,540,,,0,0,,,,0,,90 Households affected,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(1.434479167, 38.70002046)",ISIOLO,ISIOLO NORTH,"(1.01044307753, 38.54215312060)"
FLOOD,ISIOLO,ISIOLO,MERTI,05/24/2005 12:00:00 AM,Saleti,,,,,,,420,,,0,0,,,,0,,70 Households were affected,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(1.434479167, 38.70002046)",ISIOLO,ISIOLO NORTH,"(1.01044307753, 38.54215312060)"
FLOOD,ISIOLO,ISIOLO,MERTI,05/24/2005 12:00:00 AM,Korbesa,,,,,,,900,,,0,0,,,,0,,150 Households were affected,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(1.434479167, 38.70002046)",ISIOLO,ISIOLO NORTH,"(1.01044307753, 38.54215312060)"
FLOOD,ISIOLO,ISIOLO,MERTI,05/24/2005 12:00:00 AM,Malkagalla,,,,,,,1020,,,0,0,,,,0,,170 Households were affected,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(1.434479167, 38.70002046)",ISIOLO,ISIOLO NORTH,"(1.01044307753, 38.54215312060)"
FLOOD,ISIOLO,ISIOLO,MERTI,05/24/2005 12:00:00 AM,Biliku,,,,,,,300,,,0,0,,,,0,,50 Households were affected,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(1.434479167, 38.70002046)",ISIOLO,ISIOLO NORTH,"(1.01044307753, 38.54215312060)"
FLOOD,ISIOLO,ISIOLO,MERTI,05/24/2005 12:00:00 AM,Dacha Bassa,,,,,,,720,,,0,0,,,,0,,120 Households were affected,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(1.434479167, 38.70002046)",ISIOLO,ISIOLO NORTH,"(1.01044307753, 38.54215312060)"
